N,ID,CLASS,REGION
312,RM-0101-311,Healthy,RM
313,RM-0101-312,Healthy,RM
314,RM-0101-313,Healthy,RM
315,RM-0101-314,Healthy,RM
316,RM-0101-315,Healthy,RM
317,RM-0101-316,Healthy,RM
318,RM-0101-317,Healthy,RM
319,RM-0101-318,Healthy,RM
320,RM-0101-319,Healthy,RM
321,RM-0101-320,Healthy,RM
322,RM-0101-321,Healthy,RM
323,RM-0101-322,Healthy,RM
324,RM-0101-323,Healthy,RM
325,RM-0101-324,Healthy,RM
326,RM-0101-325,Healthy,RM
327,RM-0101-326,Healthy,RM
328,RM-0101-327,Healthy,RM
329,RM-0101-328,Healthy,RM
330,RM-0101-329,Healthy,RM
331,RM-0101-330,Healthy,RM
332,RM-0101-331,Healthy,RM
333,RM-0101-332,Healthy,RM
334,RM-0101-333,Healthy,RM
335,RM-0101-334,Healthy,RM
336,RM-0101-335,Healthy,RM
337,RM-0101-336,Healthy,RM
338,RM-0101-337,Healthy,RM
339,RM-0101-338,Healthy,RM
340,RM-0101-339,Healthy,RM
341,RM-0101-340,Healthy,RM
342,RM-0101-341,Healthy,RM
343,RM-0101-342,Healthy,RM
344,RM-0101-343,Healthy,RM
345,RM-0101-344,Healthy,RM
346,RM-0101-345,Healthy,RM
347,RM-0101-346,Healthy,RM
348,RM-0101-347,Healthy,RM
349,RM-0101-348,Healthy,RM
350,RM-0101-349,Healthy,RM
351,RM-0101-350,Healthy,RM
352,RM-0101-351,Healthy,RM
353,RM-0101-352,Healthy,RM
354,RM-0101-353,Healthy,RM
355,RM-0101-354,Healthy,RM
356,RM-0101-355,Healthy,RM
357,RM-0101-356,Healthy,RM
358,RM-0101-357,Healthy,RM
359,RM-0101-358,Healthy,RM
360,RM-0101-359,Healthy,RM
361,RM-0101-360,Healthy,RM
362,RM-0101-361,Healthy,RM
363,RM-0101-362,Healthy,RM
364,RM-0101-363,Healthy,RM
365,RM-0101-364,Healthy,RM
366,RM-0101-365,Healthy,RM
367,RM-0101-366,Healthy,RM
368,RM-0101-367,Healthy,RM
369,RM-0101-368,Healthy,RM
370,RM-0101-369,Healthy,RM
371,RM-0101-370,Healthy,RM
372,RM-0101-371,Healthy,RM
373,RM-0101-372,Healthy,RM
374,RM-0101-373,Healthy,RM
375,RM-0101-374,Healthy,RM
376,RM-0101-375,Healthy,RM
377,RM-0101-376,Healthy,RM
378,RM-0101-377,Healthy,RM
379,RM-0101-378,Healthy,RM
380,RM-0101-379,Healthy,RM
381,RM-0101-380,Healthy,RM
382,RM-0101-381,Healthy,RM
383,RM-0101-382,Healthy,RM
384,RM-0101-383,Healthy,RM
385,RM-0101-384,Healthy,RM
386,RM-0101-385,Healthy,RM
387,RM-0101-386,Healthy,RM
388,RM-0101-387,Healthy,RM
389,RM-0101-388,Healthy,RM
390,RM-0101-389,Healthy,RM
391,RM-0101-390,Healthy,RM
392,RM-0101-391,Healthy,RM
393,RM-0101-392,Healthy,RM
394,RM-0101-393,Healthy,RM
395,RM-0101-394,Healthy,RM
396,RM-0101-395,Healthy,RM
397,RM-0101-396,Healthy,RM
398,RM-0101-397,Healthy,RM
399,RM-0101-398,Healthy,RM
400,RM-0101-399,Healthy,RM
401,RM-0101-400,Healthy,RM
402,RM-0101-401,Healthy,RM
403,RM-0101-402,Healthy,RM
404,RM-0101-403,Healthy,RM
405,RM-0101-404,Healthy,RM
406,RM-0101-405,Healthy,RM
407,RM-0101-406,Healthy,RM
408,RM-0101-407,Healthy,RM
409,RM-0101-408,Healthy,RM
410,RM-0101-409,Healthy,RM
411,RM-0101-410,Healthy,RM
412,RM-0101-411,Healthy,RM
413,RM-0101-412,Healthy,RM
414,RM-0101-413,Healthy,RM
415,RM-0101-414,Healthy,RM
416,RM-0101-415,Healthy,RM
417,RM-0101-416,Healthy,RM
418,RM-0101-417,Healthy,RM
419,RM-0101-418,Healthy,RM
420,RM-0101-419,Healthy,RM
421,RM-0101-420,Healthy,RM
422,RM-0101-421,Healthy,RM
423,RM-0101-422,Healthy,RM
424,RM-0101-423,Healthy,RM
425,RM-0101-424,Healthy,RM
426,RM-0101-425,Healthy,RM
427,RM-0101-426,Healthy,RM
428,RM-0101-427,Healthy,RM
429,RM-0101-428,Healthy,RM
430,RM-0101-429,Healthy,RM
431,RM-0101-430,Healthy,RM
432,RM-0101-431,Healthy,RM
433,RM-0101-432,Healthy,RM
434,RM-0101-433,Healthy,RM
435,RM-0101-434,Healthy,RM
436,RM-0101-435,Healthy,RM
437,RM-0101-436,Healthy,RM
438,RM-0101-437,Healthy,RM
439,RM-0101-438,Healthy,RM
440,RM-0101-439,Healthy,RM
441,RM-0101-440,Healthy,RM
442,RM-0101-441,Healthy,RM
443,RM-0101-442,Healthy,RM
444,RM-0101-443,Healthy,RM
445,RM-0101-444,Healthy,RM
446,RM-0101-445,Healthy,RM
447,RM-0101-446,Healthy,RM
448,RM-0101-447,Healthy,RM
449,RM-0101-448,Healthy,RM
450,RM-0101-449,Healthy,RM
451,RM-0101-450,Healthy,RM
452,RM-0101-451,Healthy,RM
453,RM-0101-452,Healthy,RM
454,RM-0101-453,Healthy,RM
455,RM-0102-0,Sick,RM
456,RM-0102-1,Sick,RM
457,RM-0102-2,Sick,RM
458,RM-0102-3,Sick,RM
459,RM-0102-4,Sick,RM
460,RM-0102-5,Sick,RM
461,RM-0102-6,Sick,RM
462,RM-0102-7,Sick,RM
463,RM-0102-8,Sick,RM
464,RM-0102-9,Sick,RM
465,RM-0102-10,Sick,RM
466,RM-0102-11,Sick,RM
467,RM-0102-12,Sick,RM
468,RM-0102-13,Sick,RM
469,RM-0102-14,Sick,RM
470,RM-0102-15,Sick,RM
471,RM-0102-16,Sick,RM
472,RM-0102-17,Sick,RM
473,RM-0102-18,Sick,RM
474,RM-0102-19,Sick,RM
475,RM-0102-20,Sick,RM
476,RM-0102-21,Sick,RM
477,RM-0102-22,Sick,RM
478,RM-0102-23,Sick,RM
479,RM-0102-24,Sick,RM
480,RM-0102-25,Sick,RM
481,RM-0102-26,Sick,RM
482,RM-0102-27,Sick,RM
483,RM-0102-28,Sick,RM
484,RM-0102-29,Sick,RM
485,RM-0102-30,Sick,RM
486,RM-0102-31,Sick,RM
487,RM-0102-32,Sick,RM
488,RM-0102-33,Sick,RM
489,RM-0102-34,Sick,RM
490,RM-0102-35,Sick,RM
491,RM-0102-36,Sick,RM
492,RM-0102-37,Sick,RM
493,RM-0102-38,Sick,RM
494,RM-0102-39,Sick,RM
495,RM-0102-40,Sick,RM
496,RM-0102-41,Sick,RM
497,RM-0102-42,Sick,RM
498,RM-0102-43,Sick,RM
499,RM-0102-44,Sick,RM
500,RM-0102-45,Sick,RM
501,RM-0102-46,Sick,RM
502,RM-0102-47,Sick,RM
503,RM-0102-48,Sick,RM
504,RM-0102-49,Sick,RM
505,RM-0102-50,Sick,RM
506,RM-0102-51,Sick,RM
507,RM-0102-52,Sick,RM
508,RM-0102-53,Sick,RM
509,RM-0102-54,Sick,RM
510,RM-0102-55,Sick,RM
511,RM-0102-56,Sick,RM
512,RM-0102-57,Sick,RM
513,RM-0102-58,Sick,RM
514,RM-0102-59,Sick,RM
515,RM-0102-60,Sick,RM
516,RM-0102-61,Sick,RM
517,RM-0102-62,Sick,RM
518,RM-0102-63,Sick,RM
519,RM-0102-64,Sick,RM
520,RM-0102-65,Sick,RM
521,RM-0102-66,Sick,RM
522,RM-0102-67,Sick,RM
523,RM-0102-68,Sick,RM
524,RM-0102-69,Sick,RM
525,RM-0102-70,Sick,RM
526,RM-0102-71,Sick,RM
527,RM-0102-72,Sick,RM
528,RM-0102-73,Sick,RM
529,RM-0102-74,Sick,RM
530,RM-0102-75,Sick,RM
531,RM-0102-76,Sick,RM
532,RM-0102-77,Sick,RM
533,RM-0102-78,Sick,RM
534,RM-0102-79,Sick,RM
535,RM-0102-80,Sick,RM
536,RM-0102-81,Sick,RM
537,RM-0102-82,Sick,RM
538,RM-0102-83,Sick,RM
539,RM-0102-84,Sick,RM
540,RM-0102-85,Sick,RM
541,RM-0102-86,Sick,RM
542,RM-0102-87,Sick,RM
543,RM-0102-88,Sick,RM
544,RM-0102-89,Sick,RM
545,RM-0102-90,Sick,RM
546,RM-0102-91,Sick,RM
547,RM-0102-92,Sick,RM
548,RM-0102-93,Sick,RM
549,RM-0102-94,Sick,RM
550,RM-0102-95,Sick,RM
551,RM-0102-96,Sick,RM
552,RM-0102-97,Sick,RM
553,RM-0102-98,Sick,RM
554,RM-0102-99,Sick,RM
555,RM-0102-100,Sick,RM
556,RM-0102-101,Sick,RM
557,RM-0102-102,Sick,RM
558,RM-0102-103,Sick,RM
559,RM-0102-104,Sick,RM
560,RM-0102-105,Sick,RM
561,RM-0102-106,Sick,RM
562,RM-0102-107,Sick,RM
563,RM-0102-108,Sick,RM
564,RM-0102-109,Sick,RM
565,RM-0102-110,Sick,RM
566,RM-0102-111,Sick,RM
567,RM-0102-112,Sick,RM
568,RM-0102-113,Sick,RM
569,RM-0102-114,Sick,RM
570,RM-0102-115,Sick,RM
571,RM-0102-116,Sick,RM
572,RM-0102-117,Sick,RM
573,RM-0102-118,Sick,RM
574,RM-0102-119,Sick,RM
575,RM-0102-120,Sick,RM
576,RM-0102-121,Sick,RM
577,RM-0102-122,Sick,RM
578,RM-0102-123,Sick,RM
579,RM-0102-124,Sick,RM
580,RM-0102-125,Sick,RM
581,RM-0102-126,Sick,RM
582,RM-0102-127,Sick,RM
583,RM-0102-128,Sick,RM
584,RM-0102-129,Sick,RM
585,RM-0102-130,Sick,RM
586,RM-0102-131,Sick,RM
587,RM-0102-132,Sick,RM
588,RM-0102-133,Sick,RM
589,RM-0102-134,Sick,RM
590,RM-0102-135,Sick,RM
591,RM-0102-136,Sick,RM
592,RM-0102-137,Sick,RM
593,RM-0102-138,Sick,RM
594,RM-0102-139,Sick,RM
595,RM-0102-140,Sick,RM
596,RM-0102-141,Sick,RM
597,RM-0102-142,Sick,RM
598,RM-0102-143,Sick,RM
599,RM-0102-144,Sick,RM
600,RM-0102-145,Sick,RM
601,RM-0102-146,Sick,RM
602,RM-0102-147,Sick,RM
603,RM-0102-148,Sick,RM
604,RM-0102-149,Sick,RM
605,RM-0102-150,Sick,RM
606,RM-0102-151,Sick,RM
607,RM-0102-152,Sick,RM
608,RM-0102-153,Sick,RM
609,RM-0102-154,Sick,RM
610,RM-0102-155,Sick,RM
611,RM-0102-156,Sick,RM
612,RM-0102-157,Sick,RM
613,RM-0102-158,Sick,RM
614,RM-0102-159,Sick,RM
615,RM-0102-160,Sick,RM
616,RM-0102-161,Sick,RM
617,RM-0102-162,Sick,RM
618,RM-0102-163,Sick,RM
619,RM-0102-164,Sick,RM
620,RM-0102-165,Sick,RM
621,RM-0102-166,Sick,RM
622,RM-0102-167,Sick,RM
623,RM-0102-168,Sick,RM
624,RM-0102-169,Sick,RM
625,RM-0102-170,Sick,RM
626,RM-0102-171,Sick,RM
627,RM-0102-172,Sick,RM
628,RM-0102-173,Sick,RM
629,RM-0102-174,Sick,RM
630,RM-0102-175,Sick,RM
631,RM-0102-176,Sick,RM
632,RM-0102-177,Sick,RM
633,RM-0102-178,Sick,RM
634,RM-0102-179,Sick,RM
635,RM-0102-180,Sick,RM
636,RM-0102-181,Sick,RM
637,RM-0102-182,Sick,RM
638,RM-0102-183,Sick,RM
639,RM-0102-184,Sick,RM
640,RM-0102-185,Sick,RM
641,RM-0102-186,Sick,RM
642,RM-0102-187,Sick,RM
643,RM-0102-188,Sick,RM
644,RM-0102-189,Sick,RM
645,RM-0102-190,Sick,RM
646,RM-0102-191,Sick,RM
647,RM-0102-192,Sick,RM
648,RM-0102-193,Sick,RM
649,RM-0102-194,Sick,RM
650,RM-0102-195,Sick,RM
651,RM-0102-196,Sick,RM
652,RM-0102-197,Sick,RM
653,RM-0102-198,Sick,RM
654,RM-0102-199,Sick,RM
655,RM-0102-200,Sick,RM
656,RM-0102-201,Sick,RM
657,RM-0102-202,Sick,RM
658,RM-0102-203,Sick,RM
659,RM-0102-204,Sick,RM
660,RM-0102-205,Sick,RM
661,RM-0102-206,Sick,RM
662,RM-0102-207,Sick,RM
663,RM-0102-208,Sick,RM
664,RM-0102-209,Sick,RM
665,RM-0102-210,Sick,RM
666,RM-0102-211,Sick,RM
667,RM-0102-212,Sick,RM
668,RM-0102-213,Sick,RM
669,RM-0102-214,Sick,RM
670,RM-0102-215,Sick,RM
671,RM-0102-216,Sick,RM
672,RM-0102-217,Sick,RM
673,RM-0102-218,Sick,RM
674,RM-0102-219,Sick,RM
675,RM-0102-220,Sick,RM
676,RM-0102-221,Sick,RM
677,RM-0102-222,Sick,RM
678,RM-0102-223,Sick,RM
679,RM-0102-224,Sick,RM
680,RM-0102-225,Sick,RM
681,RM-0102-226,Sick,RM
682,RM-0102-227,Sick,RM
683,RM-0102-228,Sick,RM
684,RM-0102-229,Sick,RM
685,RM-0102-230,Sick,RM
686,RM-0102-231,Sick,RM
687,RM-0102-232,Sick,RM
688,RM-0102-233,Sick,RM
689,RM-0102-234,Sick,RM
690,RM-0102-235,Sick,RM
691,RM-0102-236,Sick,RM
692,RM-0102-237,Sick,RM
693,RM-0102-238,Sick,RM
694,RM-0102-239,Sick,RM
695,RM-0102-240,Sick,RM
696,RM-0102-241,Sick,RM
697,RM-0102-242,Sick,RM
698,RM-0102-243,Sick,RM
699,RM-0102-244,Sick,RM
700,RM-0102-245,Sick,RM
701,RM-0102-246,Sick,RM
702,RM-0102-247,Sick,RM
703,RM-0102-248,Sick,RM
704,RM-0102-249,Sick,RM
705,RM-0102-250,Sick,RM
706,RM-0102-251,Sick,RM
707,RM-0102-252,Sick,RM
708,RM-0102-253,Sick,RM
709,RM-0102-254,Sick,RM
710,RM-0102-255,Sick,RM
711,RM-0102-256,Sick,RM
712,RM-0102-257,Sick,RM
713,RM-0102-258,Sick,RM
714,RM-0102-259,Sick,RM
715,RM-0102-260,Sick,RM
716,RM-0102-261,Sick,RM
717,RM-0102-262,Sick,RM
718,RM-0102-263,Sick,RM
719,RM-0102-264,Sick,RM
720,RM-0102-265,Sick,RM
721,RM-0102-266,Sick,RM
722,RM-0102-267,Sick,RM
723,RM-0102-268,Sick,RM
724,RM-0102-269,Sick,RM
725,RM-0102-270,Sick,RM
726,RM-0102-271,Sick,RM
727,RM-0102-272,Sick,RM
728,RM-0102-273,Sick,RM
729,RM-0102-274,Sick,RM
730,RM-0102-275,Sick,RM
731,RM-0102-276,Sick,RM
732,RM-0102-277,Sick,RM
733,RM-0102-278,Sick,RM
734,RM-0102-279,Sick,RM
735,RM-0102-280,Sick,RM
736,RM-0102-281,Sick,RM
737,RM-0102-282,Sick,RM
738,RM-0102-283,Sick,RM
739,RM-0102-284,Sick,RM
740,RM-0102-285,Sick,RM
741,RM-0102-286,Sick,RM
742,RM-0102-287,Sick,RM
743,RM-0102-288,Sick,RM
744,RM-0102-289,Sick,RM
745,RM-0102-290,Sick,RM
746,RM-0102-291,Sick,RM
747,RM-0102-292,Sick,RM
748,RM-0102-293,Sick,RM
749,RM-0102-294,Sick,RM
750,RM-0102-295,Sick,RM
751,RM-0102-296,Sick,RM
752,RM-0102-297,Sick,RM
753,RM-0102-298,Sick,RM
754,RM-0102-299,Sick,RM
755,RM-0102-300,Sick,RM
756,RM-0102-301,Sick,RM
757,RM-0102-302,Sick,RM
758,RM-0102-303,Sick,RM
759,RM-0102-304,Sick,RM
760,RM-0102-305,Sick,RM
761,RM-0102-306,Sick,RM
762,RM-0102-307,Sick,RM
763,RM-0102-308,Sick,RM
764,RM-0102-309,Sick,RM
765,RM-0102-310,Sick,RM
766,RM-0102-311,Sick,RM
767,RM-0102-312,Sick,RM
768,RM-0102-313,Sick,RM
769,RM-0102-314,Sick,RM
770,RM-0102-315,Sick,RM
771,RM-0102-316,Sick,RM
772,RM-0102-317,Sick,RM
773,RM-0102-318,Sick,RM
774,RM-0102-319,Sick,RM
775,RM-0102-320,Sick,RM
776,RM-0102-321,Sick,RM
777,RM-0102-322,Sick,RM
778,RM-0102-323,Sick,RM
779,RM-0102-324,Sick,RM
780,RM-0102-325,Sick,RM
781,RM-0102-326,Sick,RM
782,RM-0102-327,Sick,RM
783,RM-0102-328,Sick,RM
784,RM-0102-329,Sick,RM
785,RM-0102-330,Sick,RM
786,RM-0102-331,Sick,RM
787,RM-0102-332,Sick,RM
788,RM-0102-333,Sick,RM
789,RM-0102-334,Sick,RM
790,RM-0102-335,Sick,RM
791,RM-0102-336,Sick,RM
792,RM-0102-337,Sick,RM
793,RM-0102-338,Sick,RM
794,RM-0102-339,Sick,RM
795,RM-0102-340,Sick,RM
